file_name,topic,topic_score,topic_keywords
revl-n178-SP_CK-3000-[…1936-05-09].txt,2,0.17356365930320813,"palīdzības, tautas, darba, sarkanās palīdzības, latvijas, sarkanās, spānijas, fašistu, darba tautas, cietumos, ziemas, tauta, palīdzība, viņu, latvijas sarkanās"
revl-n054-United_antifascist_committee-unk-1934-07.txt,1,0.09161334496597764,"strādnieku, darba, algas, strādnieki, strādniekiem, arodbiedrību, biedri, valdība, strādniekus, algu, arodbiedrības, mūsu, cīņas, bezdarbnieku, uzlabošanu"
revl-n025-SP_CK-unk-[…1934-04-24].txt,2,0.20496458326563258,"palīdzības, tautas, darba, sarkanās palīdzības, latvijas, sarkanās, spānijas, fašistu, darba tautas, cietumos, ziemas, tauta, palīdzība, viņu, latvijas sarkanās"
revl-n110-LKP_CK-10000-[…1935-02-09].txt,5,0.4563524017506183,"nāves, latvijas, protesta, ulmaņa, bendes, murinam, nāves sodu, sodu, strādnieku, nost, atcelt nāves, tiesas, jaunieti, režīmu, kara tiesas"
revl-n068-LKP_Riga_committee_Shoemakers_faction-600-1934-09-30.txt,1,0.27445470745396816,"strādnieku, darba, algas, strādnieki, strādniekiem, arodbiedrību, biedri, valdība, strādniekus, algu, arodbiedrības, mūsu, cīņas, bezdarbnieku, uzlabošanu"
revl-n046-LKJS_CK-5000-[…1934-07-17].txt,0,0.21313835656162888,"sprs, kara, latvijas, padomju, tautas, tautu, karu, darbaļaužu, pasaules, vācijas, vācu, miera, karš, visu, baltijas"
revl-n187-LKP_Riga_committee-5000-[…1936-07-29].txt,0,0.1563175084142684,"sprs, kara, latvijas, padomju, tautas, tautu, karu, darbaļaužu, pasaules, vācijas, vācu, miera, karš, visu, baltijas"
revl-n090-LKJS_Riga_port_workers_cell-unk-1934-12-07.txt,1,0.24770397074541492,"strādnieku, darba, algas, strādnieki, strādniekiem, arodbiedrību, biedri, valdība, strādniekus, algu, arodbiedrības, mūsu, cīņas, bezdarbnieku, uzlabošanu"
revl-n038-LKP_Riga_committee-unk-[…1934-05-25].txt,1,0.1790159007128593,"strādnieku, darba, algas, strādnieki, strādniekiem, arodbiedrību, biedri, valdība, strādniekus, algu, arodbiedrības, mūsu, cīņas, bezdarbnieku, uzlabošanu"
revl-n087-SP_CK_SP_Riga_committee-6000-[…1934-11-18].txt,2,0.25406600329020645,"palīdzības, tautas, darba, sarkanās palīdzības, latvijas, sarkanās, spānijas, fašistu, darba tautas, cietumos, ziemas, tauta, palīdzība, viņu, latvijas sarkanās"
revl-n105-LKJS_CK-4000-1935-02-01.txt,5,0.5552553786281166,"nāves, latvijas, protesta, ulmaņa, bendes, murinam, nāves sodu, sodu, strādnieku, nost, atcelt nāves, tiesas, jaunieti, režīmu, kara tiesas"
revl-n057-LKJS_Riga_committee-2000-1934-08-10.txt,4,0.43010846424053517,"jaunatnes, darba, skolu, jaunatne, jaunatnei, skolnieku, strādnieku, jaunatni, darba jaunatnes, skolas, latvijas, jaunieši, cīņas, skolās, padomju"
revl-n084-LKJS_CK-3000-1934-11-12.txt,4,0.1825985641373225,"jaunatnes, darba, skolu, jaunatne, jaunatnei, skolnieku, strādnieku, jaunatni, darba jaunatnes, skolas, latvijas, jaunieši, cīņas, skolās, padomju"
